Name,MergeAleatorio,QuickAleatorio,HeapAleatorio
100,0.023,0.012,0.025
200,0.046,0.023,0.054
500,0.119,0.064,0.157
1000,0.224,0.128,0.327
2000,0.446,0.273,0.688
5000,1.242,0.677,1.99
7500,1.91,1.084,3.128
10000,2.347,1.365,4.096
15000,3.612,2.188,6.45
30000,8.46,4.471,14.732
50000,14.754,8.135,26.326
75000,21.738,10.895,40.737
100000,28.394,15.068,53.854
200000,58.555,30.044,120.091
500000,151.952,76.673,342.959
750000,234.04,113.022,524.079
1000000,297.744,148.191,671.038
1250000,368.519,183.743,874.476
1500000,444.377,221.196,1054.728
2000000,601.846,295.49,1498.042
