Name,MergeOrdenadoDecrescente,QuickOrdenadoDecrescente,HeapOrdenadoDecrescente
100,0.02,0.005,0.022
200,0.038,0.009,0.051
500,0.084,0.021,0.133
1000,0.171,0.049,0.289
2000,0.298,0.105,0.581
5000,0.89,0.306,1.653
7500,1.22,0.454,2.695
10000,1.729,0.633,3.923
15000,2.801,1.022,5.424
30000,5.424,2.0,11.764
50000,9.785,3.361,20.214
75000,13.883,4.854,31.111
100000,20.367,6.645,45.35
200000,38.893,14.119,90.777
500000,99.033,35.59,245.129
750000,150.269,54.81,368.207
1000000,211.662,75.635,527.957
1250000,261.402,95.266,651.647
1500000,326.286,116.337,806.139
2000000,412.486,150.954,1054.553
