Name,QuickAleatorio,QuickOrdenadoCrescente,QuickParcialmenteOrdenado,QuickOrdenadoDecrescente
100,0.012,0.004,0.008,0.005
200,0.023,0.008,0.013,0.009
500,0.064,0.022,0.029,0.021
1000,0.128,0.048,0.055,0.049
2000,0.273,0.102,0.107,0.105
5000,0.677,0.294,0.292,0.306
7500,1.084,0.436,0.45,0.454
10000,1.365,0.606,0.622,0.633
15000,2.188,0.988,0.988,1.022
30000,4.471,1.964,1.95,2.0
50000,8.135,3.159,3.195,3.361
75000,10.895,4.725,4.686,4.854
100000,15.068,6.254,6.273,6.645
200000,30.044,13.779,13.968,14.119
500000,76.673,34.341,34.548,35.59
750000,113.022,55.022,55.245,54.81
1000000,148.191,71.985,72.189,75.635
1250000,183.743,92.074,91.988,95.266
1500000,221.196,110.446,111.2,116.337
2000000,295.49,146.427,145.394,150.954
